company_name,funding_citations
pharmacyclics llc,https://en.wikipedia.org/wiki/Pharmacyclics
synlogic inc,https://www.linkedin.com/company/synlogic-therapeutics
aileron therapeutics inc,https://www.linkedin.com/company/rein-therapeutics
onconova therapeutics inc,https://www.linkedin.com/company/onconova
eg 427,https://fr.linkedin.com/company/eg427
aerorx therapeutics inc,https://vcnewsdaily.com/aerorx-therapeutics/venture-capital-funding/qlxjqqgtxb
aerorx therapeutics llc (inactive),https://finance.yahoo.com/news/aerorx-therapeutics-announces-21-million-110000368.html
shanghai biotroy biotechnology co ltd,https://www.biotroy.com/News-m.html?article_id=97
bio-thera solutions ltd,https://www.bio-thera.com/plus/view.php?aid=1130
nerviano medical sciences srl,https://www.novaquest.com/news/nerviano-medical-sciences-srl-announces-rozlytrek-entrectinib-royalty-agreement/
memo therapeutics ag,https://ch.linkedin.com/company/memo-therapeutics-ag
polarityte inc,https://finance.yahoo.com/news/polarityte-secures-22-5-million-120000932.html
regenetp inc,https://www.marketscreener.com/quote/stock/REGENETP-INC-33339222/news/
indapta therapeutics inc,https://www.businesswire.com/news/home/20241217242473/en/Indapta-Therapeutics-Secures-%2422.5-Million-to-Advance-Clinical-Trials-of-Innovative-Cancer-and-Autoimmune-Treatments
genenta science spa,https://genenta.gcs-web.com/news-events/news-releases
immune biosolutions inc,https://www.biospace.com/immune-biosolutions-a-step-closer-to-the-first-inhaled-antibody-treatment-for-covid-19
kymab ltd,https://www.devex.com/organizations/kymab-limited-56547
fibrogen inc,https://en.wikipedia.org/wiki/FibroGen
disc medicine inc,https://www.globaldata.com/company-profile/disc-medicine-inc/
centessa pharmaceuticals plc,https://www.linkedin.com/company/centessa
viridian therapeutics inc,https://www.linkedin.com/company/viridiantx
altrubio inc,https://www.biospace.com/employer/2388550/altrubio
annexon inc,https://www.tipranks.com/stocks/annx
cellectis sa,https://en.wikipedia.org/wiki/Cellectis
xbrane biopharma ab,https://xbrane.com/en/
medicinova inc,https://www.linkedin.com/company/medicinova-inc.
quince therapeutics inc,https://finance.yahoo.com/quote/QNCX/
omeros corp,https://finance.yahoo.com/news/omeros-corporation-announces-pricing-22-120000222.html
gaba therapeutics inc,https://tracxn.com/d/companies/gaba-therapeutics/__jCdYVmUDxyKDI0hMHirVphznk_5xp1zlvmvSoK9TqhY
nbe-therapeutics ag,https://ch.linkedin.com/company/nbe-therapeutics-ag
neutrolis inc,https://www.crunchbase.com/organization/neutrolis
emulate therapeutics inc,https://tracxn.com/d/companies/emulate-therapeutics/__-gpiZAfLEyaeyqY6Zt6yXPEQqk9-PsptZ1OEdihu8KQ
applied genetic technologies corp,https://www.biospace.com/syncona-to-acquire-applied-genetic-technologies-corporation
sellas life sciences group inc,https://sellaslifesciences.com/
blueberry therapeutics ltd,https://tracxn.com/d/companies/blueberry-therapeutics/__Woij0NynWWQYpvMfZgORLuvNNuUtSGKdGbjTJZvN21M
ablynx nv,https://be.linkedin.com/company/ablynx
gi innovation co ltd,https://convention.bio.org/program-1/gi-innovation
cogent biosciences inc,https://pitchbook.com/profiles/company/98678-08
enliven therapeutics inc,https://finance.yahoo.com/news/enliven-therapeutics-inc-elvn-backed-173336114.html
zai lab ltd,https://www.linkedin.com/company/zai-lab
sanifit therapeutics sa,https://www.fiercebiotech.com/biotech/sanifit-having-put-spain-s-biotech-scene-map-lands-231m-vifor-buyout-ahead-phase-3-data
amicogen inc,https://www.linkedin.com/company/amicogen-inc/
zentalis pharmaceuticals inc,https://www.linkedin.com/company/zentalis-pharmaceuticals
revolution medicines inc,https://www.biospace.com/employer/401009/revolution-medicines
morphosys ag,https://en.wikipedia.org/wiki/MorphoSys
shanghai novamab biopharmaceuticals co ltd,https://www.crunchbase.com/organization/novamab
biogenomics llc,https://tracxn.com/d/companies/biogenomics/__fduITjhjFdFQz3kvxCVo5M5nAWy3DHWQOwMLG3k3keI
epics therapeutics sa,https://tracxn.com/d/companies/epics-therapeutics/__mzJDIyknXkhNsKIXCb1X6QBbBmnt72EjsG64RDBaHH0
aston sci co ltd,https://www.linkedin.com/company/astonsci
allecra therapeutics gmbh,https://www.linkedin.com/company/allecra-therapeutics
medikine inc,https://tracxn.com/d/companies/medikine/__bel3Q5KjQ0Ic4D6wjMd6z0_DDb3ow8feADhREiy1gJg
dizal (jiangsu) pharmaceutical co ltd,https://www.linkedin.com/company/dizal-pharma
dizal pharmaceutical co,https://www.crunchbase.com/organization/dizal-pharma
dizal pharmaceutical co ltd,"https://www.linkedin.com/company/dizal-pharma#:~:text=Dizal%20Pharmaceutical%20Co.%2C%20Ltd%20(,of%20cancer%20and%20immunological%20diseases."
atriva therapeutics gmbh,https://www.eib.org/en/press/all/2020-280-germany-eib-backs-atriva-therapeutics-with-eur24-million-for-the-development-of-a-potential-covid-19-treatment
respirion pharmaceuticals pty ltd,https://www.cbinsights.com/company/respirion-pharmaceuticals
immuneoncia therapeutics inc,https://www.bioworld.com/articles/720353-cancer-drug-specialist-immuneoncia-raises-24m-in-kosdaq-listing
fortunerock (china) ltd,https://tracxn.com/d/companies/fortune-rock/__VfXjCtXmCNbvZmuRGShPuubgJFmjBmbk6pa-mkuD-_c
veralox therapeutics inc,https://www.linkedin.com/company/veralox-therapeutics
adaptimmune therapeutics plc,https://www.linkedin.com/company/adaptimmune
evelo biosciences inc,https://www.biopharmadive.com/news/evelo-close-layoffs-shut-flagship-microbiome/700618/
tilt biotherapeutics ltd,https://www.globenewswire.com/news-release/2025/05/13/3079780/0/en/TILT-Biotherapeutics-Announces-Closing-of-USD-25-Million-Series-B-Financing.html
nanocarrier co ltd,https://www.linkedin.com/company/nanocarrier-ltd-
polyactiva pty ltd,https://au.linkedin.com/company/polyactiva
pharmatrophix inc,https://www.alzdiscovery.org/research-and-grants/portfolio-details/2283
gid group inc,https://www.linkedin.com/company/the-gid-group-inc.
tc biopharm ltd,https://uk.linkedin.com/company/tc-biopharm-limited
calypso biotech sa,https://www.startupticker.ch/en/news/novartis-pays-250m-upfront-to-acquire-calypso-biotech
modis therapeutics inc,https://www.globenewswire.com/news-release/2019/08/26/1906376/35369/en/Zogenix-Announces-Acquisition-of-Modis-Therapeutics-Inc.html
lexicon pharmaceuticals inc,https://www.linkedin.com/company/lexicon-pharmaceuticals
apcintex ltd,https://www.ipgroupplc.com/news-and-events/ip-group-news/2021/2021-02-17
sichuan nofit biopharmaceutical technology co ltd,https://www.prnewswire.com/news-releases/kelun-biotech-announces-approximately-us250-million-placement-302475045.html
emalex biosciences inc,https://www.baincapital.com/news/emalex-biosciences-announces-250-million-financing-round-advance-investigational-new-drug
sichuan kelun biotech biopharmaceutical co ltd,https://www.prnewswire.com/news-releases/kelun-biotech-announces-approximately-us250-million-placement-302475045.html
sichuan kelun bio-tech pharmaceutical co ltd,https://www.prnewswire.com/news-releases/kelun-biotech-announces-approximately-us250-million-placement-302475045.html
dimension therapeutics inc,https://drug-dev.com/dimension-therapeutics-bayer-sign-252-million-deal/
blade therapeutics inc,https://www.biospace.com/employer/400420/blade-therapeutics
cerecin pte ltd,https://tracxn.com/d/companies/cerecin/__zOVHQjDhjqn1XDW8-_cUlPokGPki7soxYMBXw5nDOtM
imv inc,https://www.linkedin.com/company/imv-inc
gamida cell ltd,https://www.linkedin.com/company/gamida-cell-ltd-
gliknik inc,https://www.pfizer.com/news/press-release/press-release-detail/gliknik-enters-licensing-agreement-pfizer-drug-candidate
dren bio inc,https://www.crunchbase.com/organization/dren-bio
basilea pharmaceutica ltd,https://ch.linkedin.com/company/basilea-pharmaceutica-ltd
actinium pharmaceuticals inc,https://www.linkedin.com/company/actinium-pharmaceuticals-inc-
c4 therapeutics inc,https://www.linkedin.com/company/c4-therapeutics-inc.
inovio pharmaceuticals inc,https://www.linkedin.com/company/inovio-pharmaceuticals
tenax therapeutics inc,https://www.linkedin.com/company/tenax-therapeutics
